ASP,Alice Springs Airport,Australia,133.902206,-23.806601,1789
ASR,Kayseri Erkilet International Airport,Turkey,35.495419,38.770378,3463
ASU,Asuncion Silvio Pettirossi International Airport,Paraguay,-57.519100,-25.239799,292
ATH,Athens Eleftherios Venizelos,Greece,23.944460,37.936352,308
ATL,Atlanta Hartsfield-Jackson International Airport,United States,-84.428001,33.636719,1026
ATM,Altamira Airport,Brazil,-52.253899,-3.253900,368
ATQ,Amritsar International Airport,India,74.797256,31.709591,756
ATW,Appleton Outagamie County Regional Airport,United States,-88.518997,44.258091,918
AUA,Oranjestad Queen Beatrix International Airport,Aruba,-70.015198,12.501380,60
AUH,Abu Dhabi International Airport,United Arab Emirates,54.651131,24.432970,88
AUS,Austin Bergstrom International Airport,United States,-97.669800,30.194521,542
AUX,Araguaina Airport,Brazil,-48.240467,-7.227867,771
AVL,Asheville Regional Airport,United States,-82.541801,35.436192,2164
AVN,Avignon Caumont Airport,France,4.902028,43.906582,124
AVP,Avoca Wilkes-Barre/Scranton International Airport,United States,-75.723297,41.338470,962
AVV,Melbourne Avalon Airport,Australia,144.469406,-38.039398,35
AWZ,Ahwaz International Airport,Iran,48.761951,31.337429,66
AXA,The Valley Clayton J. Lloyd International Airport,Anguilla,-63.055000,18.204830,128
AXD,Alexandroupolis International Airport,Greece,25.956261,40.855862,24
AXT,Akita Airport,Japan,140.218597,39.615551,313
AYQ,Ayers Rock Airport,Australia,130.975494,-25.186100,1626
AYT,Antalya Airport,Turkey,30.800461,36.898731,177
AZA,Phoenix Mesa Gateway Airport,United States,-111.650002,33.299999,-1
AZO,Kalamazoo Battle Creek International Airport,United States,-85.550003,42.230000,873
AZS,Samana El Catey International Airport,Dominican Republic,-69.741997,19.267000,148
BAH,Bahrain International Airport,Bahrain,50.633610,26.270830,6
BAL,Batman Airport,Turkey,41.116581,37.928959,1822
BAQ,Barranquilla Ernesto Cortissoz International Airport,Colombia,-74.780602,10.889460,98
BAX,Barnaul Airport,Russia,83.538528,53.363770,838
BBI,Bhubaneswar Biju Patnaik International Airport,India,85.817780,20.244360,138
BCD,Bacolod City Silay International Airport,Philippines,123.018394,10.776905,25
BCM,Bacau International Airport,Romania,26.910271,46.521938,607
BCN,Barcelona El Prat Airport,Spain,2.078463,41.297070,12
BDA,Bermuda L.F. Wade International Airport,Bermuda,-64.678703,32.364040,18
BDB,Bundaberg Airport,Australia,152.321869,-24.898708,107
BDJ,Banjarmasin Syamsudin Noor Airport,Indonesia,114.762497,-3.442350,66
BDL,Windsor Locks Bradley International Airport,United States,-72.683197,41.938881,173
BDO,Bandung Husein Sastranegara International Airport,Indonesia,107.576202,-6.900620,2436
BDQ,Vadodara Airport,India,73.226280,22.336161,129
BDS,Brindisi Airport,Italy,17.947029,40.657631,47
BDU,Bardufoss Airport,Norway,18.540350,69.055748,252
BEG,Belgrade Nikola Tesla Airport,Serbia,20.309130,44.818439,335
BEL,Belem Val de Cans International Airport,Brazil,-48.476200,-1.379250,54
BEN,Benghazi Benina International Airport,Libya,20.269470,32.096779,433
BES,Brest Bretagne Airport,France,-4.421660,48.447220,325
BET,Bethel Airport,United States,-161.837997,60.779770,128
BEW,Beira Airport,Mozambique,34.907551,-19.796400,33
BEY,Beirut Rafic Hariri International Airport,Lebanon,35.488380,33.820930,87
BFI,Seattle Boeing Field,United States,-122.301003,47.529999,21
BFL,Bakersfield Meadows Field Airport,United States,-119.056999,35.433861,510
